iter	RMSE
0	7688.856308
1	7609.403861
2	7532.102294
3	7482.677356
4	7396.488114
5	7311.511897
6	7259.53461
7	7184.997912
8	7113.709507
9	7027.461843
10	6958.330451
11	6888.680306
12	6821.309715
13	6752.759966
14	6686.281145
15	6638.123771
16	6558.076472
17	6484.307157
18	6419.720389
19	6356.79651
20	6316.61691
21	6254.06294
22	6181.355932
23	6122.141565
24	6063.06788
25	6005.746157
26	5948.165849
27	5902.435388
28	5847.323641
29	5793.541187
30	5738.796283
31	5668.384715
32	5616.970206
33	5557.579378
34	5516.863127
35	5483.660045
36	5419.394135
37	5359.227069
38	5286.121584
39	5250.361542
40	5182.252688
41	5138.666867
42	5107.583572
43	5060.722998
44	4994.702454
45	4949.534971
46	4903.908403
47	4859.002741
48	4795.018148
49	4739.898214
50	4687.37619
51	4641.841587
52	4587.193169
53	4545.90628
54	4504.852238
55	4463.772819
56	4416.113161
57	4376.124094
58	4350.535759
59	4305.818531
60	4255.734252
61	4202.438042
62	4168.936769
63	4131.17126
64	4107.176108
65	4064.907279
66	4021.984414
67	3980.181253
68	3951.255952
69	3904.754391
70	3864.437046
71	3836.740634
72	3811.069108
73	3776.375216
74	3734.468553
75	3700.136579
76	3653.622742
77	3608.514123
78	3565.562857
79	3544.677968
80	3512.853817
81	3472.976981
82	3452.682534
83	3421.778837
84	3383.735722
85	3350.476694
86	3309.409482
87	3277.464491
88	3248.651955
89	3229.772457
90	3210.875428
91	3182.900957
92	3151.95358
93	3118.11159
94	3083.165354
95	3056.614178
96	3016.8943
97	2978.919866
98	2942.457959
99	2907.773449
100	2891.299768
101	2853.190684
102	2828.088857
103	2803.70656
104	2778.70211
105	2761.546497
106	2738.415455
107	2714.75376
108	2677.517694
109	2654.768104
110	2637.08739
111	2606.466985
112	2579.41294
113	2546.539913
114	2532.264314
115	2516.207851
116	2485.723322
117	2456.048907
118	2425.886277
119	2399.198919
120	2385.737368
121	2360.463537
122	2346.854204
123	2319.820187
124	2294.073751
125	2273.807678
126	2254.327986
127	2229.237187
128	2203.878022
129	2181.085586
130	2156.453186
131	2143.990467
132	2117.973417
133	2101.249635
134	2089.228116
135	2076.209166
136	2064.443805
137	2045.019944
138	2033.350641
139	2012.562478
140	1992.564412
141	1980.006998
142	1968.608004
143	1956.210684
144	1945.091643
145	1924.843035
146	1905.062651
147	1882.437411
148	1858.844685
149	1834.872523
150	1824.396014
151	1813.382399
152	1802.902163
153	1789.640379
154	1765.882153
155	1743.574366
156	1732.768495
157	1723.088494
158	1712.635613
159	1690.951955
160	1667.556798
161	1652.401098
162	1642.959482
163	1628.304558
164	1609.737917
165	1594.751722
166	1585.17741
167	1575.583467
168	1566.127501
169	1557.442424
170	1540.808752
171	1532.132432
172	1511.523025
173	1495.405409
174	1484.032882
175	1475.479307
176	1466.952573
177	1454.098906
178	1438.780025
179	1422.002836
180	1408.910819
181	1393.646586
182	1377.948924
183	1363.693916
184	1355.830827
185	1348.195394
186	1336.339836
187	1328.618042
188	1320.896347
189	1312.625421
190	1297.473203
191	1281.716488
192	1274.342042
193	1264.913128
194	1253.618092
195	1246.601786
196	1239.485165
197	1232.16614
198	1223.299619
199	1210.96021
200	1198.87734
201	1184.511752
202	1174.096955
203	1159.038599
204	1150.989694
205	1144.247931
206	1137.252476
207	1126.102136
208	1119.656554
209	1113.298372
210	1106.559137
211	1097.665914
212	1086.787191
213	1077.189326
214	1071.119005
215	1062.816236
216	1056.726368
217	1050.363316
218	1044.459784
219	1038.603873
220	1026.654572
221	1018.080381
222	1008.041493
223	996.1333928
224	990.5012404
225	985.4208756
226	974.7426128
227	969.2791034
228	960.2294045
229	951.5736415
230	946.5153124
231	940.3954523
232	931.4434081
233	923.9512068
234	915.3140583
235	907.5579519
236	902.3153237
237	897.2312073
238	889.5257694
239	881.203539
240	871.0431148
241	866.5880598
242	860.3253641
243	855.3006592
244	850.6562018
245	845.791197
246	840.7803444
247	836.0389043
248	830.3282512
249	821.4856816
250	810.5367214
251	806.0589866
252	801.34722
253	796.8824341
254	787.9610655
255	781.2357367
256	776.9351134
257	772.6699953
258	768.4373657
259	760.3935345
260	753.4437699
261	745.9893136
262	737.7567111
263	733.6718445
264	729.6576055
265	725.4076259
266	719.2954257
267	712.2842186
268	705.4484559
269	698.7719593
270	690.7433868
271	686.935657
272	683.0409894
273	679.0864013
274	675.3798469
275	671.3582333
276	667.7065536
277	660.4527674
278	653.9130767
279	647.6621051
280	643.889372
281	640.1812426
282	636.7029821
283	631.0943536
284	627.6807865
285	620.8747429
286	617.2190205
287	611.3965528
288	604.1301065
289	597.7436452
290	590.3412406
291	586.8758182
292	583.6721603
293	580.5422024
294	577.1839171
295	574.1090956
296	571.0255597
297	567.9306248
298	564.7014914
299	558.3880236
