iter	Passed	Remaining
0	2	739
1	4	731
2	7	735
3	10	785
4	13	800
5	16	787
6	18	755
7	19	700
8	21	697
9	23	695
10	26	687
11	28	680
12	31	692
13	33	687
14	35	683
15	38	689
16	41	691
17	43	681
18	46	692
19	52	731
20	58	778
21	62	793
22	65	788
23	68	784
24	71	789
25	76	801
26	81	828
27	100	975
28	108	1010
29	112	1008
30	114	996
31	119	997
32	121	981
33	123	966
34	125	952
35	129	946
36	131	932
37	133	919
38	135	909
39	138	897
40	140	885
41	142	874
42	150	898
43	153	891
44	155	881
45	158	874
46	161	869
47	162	854
48	165	846
49	167	839
50	169	828
51	171	820
52	174	811
53	176	805
54	178	796
55	181	788
56	183	782
57	185	774
58	187	767
59	189	759
60	192	756
61	195	751
62	198	746
63	200	741
64	203	735
65	206	730
66	208	726
67	211	720
68	213	713
69	215	707
70	217	700
71	219	695
72	221	688
73	224	684
74	226	679
75	228	673
76	230	668
77	233	663
78	235	658
79	237	653
80	239	648
81	243	648
82	246	643
83	249	640
84	251	635
85	254	632
86	256	628
87	258	623
88	261	618
89	263	615
90	265	610
91	268	605
92	269	600
93	272	597
94	275	593
95	276	587
96	278	583
97	280	579
98	282	574
99	285	570
100	286	565
101	292	567
102	299	572
103	315	594
104	318	591
105	326	598
106	331	597
107	335	597
108	346	606
109	350	605
110	355	605
111	364	611
112	367	607
113	371	606
114	374	602
115	379	601
116	382	597
117	387	597
118	398	606
119	404	606
120	408	603
121	412	601
122	415	597
123	418	593
124	422	591
125	425	587
126	429	585
127	433	582
128	445	590
129	452	592
130	456	588
131	460	586
132	464	583
133	468	580
134	472	577
135	476	574
136	480	571
137	483	568
138	489	567
139	495	566
140	505	569
141	509	566
142	513	563
143	519	563
144	522	558
145	670	707
146	674	701
147	707	726
148	710	719
149	712	712
150	714	704
151	717	698
152	719	690
153	721	683
154	723	676
155	728	672
156	734	668
157	736	662
158	739	655
159	742	649
160	744	642
161	746	636
162	749	629
163	751	623
164	753	616
165	755	610
166	760	605
167	762	599
168	765	593
169	767	587
170	770	580
171	772	574
172	775	569
173	778	563
174	780	557
175	783	552
176	786	546
177	789	541
178	791	535
179	793	529
180	796	523
181	799	518
182	803	513
183	808	509
184	811	504
185	816	500
186	820	496
187	832	495
188	838	492
189	841	487
190	845	482
191	849	477
192	851	472
193	854	467
194	858	462
195	861	457
196	864	451
197	867	446
198	870	441
199	873	436
200	877	432
201	881	427
202	884	422
203	889	418
204	892	413
205	897	409
206	900	404
207	903	399
208	906	394
209	909	389
210	912	384
211	915	379
212	918	375
213	923	370
214	927	366
215	930	361
216	934	357
217	936	352
218	939	347
219	942	342
220	945	338
221	948	333
222	953	329
223	956	324
224	959	319
225	962	315
226	965	310
227	969	306
228	972	301
229	975	296
230	979	292
231	983	288
232	987	284
233	991	279
234	993	274
235	996	270
236	1001	266
237	1003	261
238	1007	257
239	1012	253
240	1019	249
241	1027	246
242	1032	242
243	1037	238
244	1041	233
245	1044	229
246	1046	224
247	1049	220
248	1051	215
249	1053	210
250	1056	206
251	1058	201
252	1060	197
253	1064	192
254	1067	188
255	1069	183
256	1072	179
257	1074	174
258	1077	170
259	1080	166
260	1082	161
261	1084	157
262	1087	153
263	1090	148
264	1092	144
265	1095	140
266	1098	135
267	1100	131
268	1103	127
269	1105	122
270	1107	118
271	1110	114
272	1113	110
273	1116	105
274	1119	101
275	1121	97
276	1124	93
277	1126	89
278	1128	84
279	1131	80
280	1133	76
281	1136	72
282	1139	68
283	1141	64
284	1146	60
285	1148	56
286	1151	52
287	1153	48
288	1156	44
289	1158	39
290	1162	35
291	1165	31
292	1167	27
293	1170	23
294	1173	19
295	1176	15
296	1178	11
297	1181	7
298	1185	3
299	1187	0
