ID,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Cylinder_capacity,Is_van,Is_passenger_car,Is_motorbike,N_claims_history,R_Claims_history,Claims_per_year,Premium,Premium_log,Premium_to_value_ratio,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Has_second_driver,Is_urban,Weight,Year_matriculation,Is_agent_channel,Is_broker_urban,Composite_risk_score,Seniority,Claims_severity
1,7068.0,8.863474306170954,0,80,4.394449154672439,0,599,0,0,1,0,0.0,0.0,222.52,5.409500895508652,0.03147828547177819,62.71047227926078,0,42.78165639972622,0,0,0,190,2004,1,0,0,4,0.0
1,7068.0,8.863474306170954,0,80,4.394449154672439,0,599,0,0,1,0,0.0,0.0,213.78,5.369614248430071,0.03024190125901825,62.71047227926078,0,42.78165639972622,0,0,0,190,2004,1,0,0,4,0.0
1,7068.0,8.863474306170954,0,80,4.394449154672439,0,599,0,0,1,0,0.0,0.0,214.84,5.3745373924594455,0.030391851747064647,62.71047227926078,0,42.78165639972622,0,0,0,190,2004,1,0,0,4,0.0
1,7068.0,8.863474306170954,0,80,4.394449154672439,0,599,0,0,1,0,0.0,0.0,216.99,5.384449190177324,0.030695996604894613,62.71047227926078,0,42.78165639972622,0,0,0,190,2004,1,0,0,4,0.0
2,7068.0,8.863474306170954,0,80,4.394449154672439,0,599,0,0,1,0,0.0,0.0,213.7,5.369241704884735,0.03023058424105248,62.71047227926078,0,42.78165639972622,0,0,0,190,2004,1,0,0,4,0.0
2,7068.0,8.863474306170954,0,80,4.394449154672439,0,599,0,0,1,0,0.0,0.0,215.83,5.379113636376126,0.030531899844391006,62.71047227926078,0,42.78165639972622,0,0,0,190,2004,1,0,0,4,0.0
3,16030.0,9.682279626689674,0,85,4.454347296253507,0,1229,0,1,0,0,0.0,0.0,380.2,5.943324171780047,0.023716549185952215,43.78918548939083,0,23.477070499657767,0,0,0,1105,2013,1,0,0,15,0.0
3,16030.0,9.682279626689674,0,85,4.454347296253507,0,1229,0,1,0,0,0.0,0.0,393.5,5.977619140285929,0.024546191753477636,43.78918548939083,0,23.477070499657767,0,0,0,1105,2013,1,0,0,15,0.0
3,16030.0,9.682279626689674,0,85,4.454347296253507,0,1229,0,1,0,0,0.0,0.0,393.5,5.977619140285929,0.024546191753477636,43.78918548939083,0,23.477070499657767,0,0,0,1105,2013,1,0,0,15,0.0
3,16030.0,9.682279626689674,0,85,4.454347296253507,0,1229,0,1,0,0,0.0,0.0,395.47,5.982600376169511,0.024669078660096065,43.78918548939083,0,23.477070499657767,0,0,0,1105,2013,1,0,0,15,0.0
