ID,CLV,Annual_Margin,Expected_Tenure_Years,Churn_Probability,Claims_Probability,Expected_Claim_Cost,Loss_Ratio,Premium,Strategic_Segment,Retention_Action
1,625.5925457407988,146.8899862489849,10.570158,0.09026868,7.483702e-05,1.3751015e-05,6.179676030685023e-08,222.52,PROTECT,VIP Treatment + Loyalty Rewards
1,426.4830282515203,140.3349862489849,6.1932464,0.1491047,7.483702e-05,1.3751015e-05,6.432320658377918e-08,213.78,PROTECT,VIP Treatment + Loyalty Rewards
1,-0.800224477180983,141.1299862489849,1.1961699,0.5665599,7.483702e-05,1.3751015e-05,6.400584203816939e-08,214.84,DEVELOP,Cross-sell + Value Enhancement
1,145.0825620712481,142.7424862489849,2.461389,0.3338728,7.483702e-05,1.3751015e-05,6.33716535484599e-08,216.99,PROTECT,VIP Treatment + Loyalty Rewards
2,12.91289389588548,140.27498591288202,1.3183007,0.531656,7.666619e-05,1.4087118e-05,6.592006533002245e-08,213.7,DEVELOP,Cross-sell + Value Enhancement
2,97.36171583686766,141.87248591288204,2.0367963,0.38796583,7.666619e-05,1.4087118e-05,6.526950822881803e-08,215.83,PROTECT,VIP Treatment + Loyalty Rewards
3,402.57595398651296,265.15,2.7054813,0.30900314,9.848576e-05,0.0,0.0,380.2,PROTECT,VIP Treatment + Loyalty Rewards
3,509.461632729183,275.125,3.168701,0.27063918,9.848576e-05,0.0,0.0,393.5,PROTECT,VIP Treatment + Loyalty Rewards
3,563.8130917787898,275.125,3.4747818,0.25007933,9.848576e-05,0.0,0.0,393.5,PROTECT,VIP Treatment + Loyalty Rewards
3,829.0155277232824,276.6025,5.244173,0.17360947,9.848576e-05,0.0,0.0,395.47,PROTECT,VIP Treatment + Loyalty Rewards
4,304.54249984423114,67.75750000000001,18.998947,0.0512733,6.733587e-05,0.0,0.0,117.01,PROTECT,VIP Treatment + Loyalty Rewards
4,-47.870664895406215,68.1925,1.2698092,0.5450282,6.733587e-05,0.0,0.0,117.59,DEVELOP,Cross-sell + Value Enhancement
4,-44.80080062383491,69.0775,1.3112938,0.5335505,6.733587e-05,0.0,0.0,118.77,DEVELOP,Cross-sell + Value Enhancement
5,-55.716288788300965,40.1875,1.6771438,0.44912744,6.823899e-05,0.0,0.0,80.25,DEVELOP,Cross-sell + Value Enhancement
5,-69.17816263623432,40.787499999999994,1.2593073,0.5480065,6.823899e-05,0.0,0.0,81.05,DEVELOP,Cross-sell + Value Enhancement
6,139.54778398119132,164.9034279727936,2.1151881,0.37672737,0.22679764,2.986572,0.011921491406699748,250.52,MANAGE,Risk Mitigation + Premium Adjustment
6,158.65789582750418,170.5320437240601,2.1976926,0.36556643,0.22679764,2.9979563,0.011618184296775465,258.04,MANAGE,Risk Mitigation + Premium Adjustment
6,189.56189584026754,171.49204372406007,2.423278,0.33811548,0.22679764,2.9979563,0.011560837096791383,259.32,MANAGE,Risk Mitigation + Premium Adjustment
7,-4048.8677459296246,-585.2415258789063,36.991917,0.02667084,0.88135934,820.564,2.4103751898449204,340.43,EXIT,Gradual Exit + Non-renewal
8,401.3046465123618,187.65469192504884,3.9033134,0.22600713,0.46663812,44.210308,0.1316488239978297,335.82,MANAGE,Risk Mitigation + Premium Adjustment
8,304.29289979557853,195.73233139038086,2.9473484,0.28772268,0.46663812,43.70017,0.12633392677175895,345.91,MANAGE,Risk Mitigation + Premium Adjustment
8,431.0073936685334,193.14483139038083,4.0392914,0.21930304,0.46663812,43.70017,0.1276066361315749,342.46,MANAGE,Risk Mitigation + Premium Adjustment
9,-39.92106976800305,70.97758850097657,1.3680699,0.5185519,0.55480003,103.36241,0.3988978523426344,259.12,EXIT,Gradual Exit + Non-renewal
9,-80.89152236053383,32.53261840820312,1.0577923,0.61146235,0.55480003,108.22238,0.5049098702612526,214.34,EXIT,Gradual Exit + Non-renewal
10,122.16841488276732,201.13040308117866,1.6804103,0.4484886,0.0016853107,0.06709692,0.00022750116577267433,294.93,PROTECT,VIP Treatment + Loyalty Rewards
10,47.615899910543625,197.81025053560734,1.2480365,0.5512362,0.0016853107,0.064749464,0.00022288972252207246,290.5,DEVELOP,Cross-sell + Value Enhancement
11,40.872153690623854,169.99212438881398,1.3467771,0.52408373,0.0021240078,0.06537561,0.0002579835491339234,253.41,DEVELOP,Cross-sell + Value Enhancement
11,78.02078457288312,162.6489939430356,1.6680771,0.45090985,0.0021240078,0.06600606,0.0002709385804301676,243.62,DEVELOP,Cross-sell + Value Enhancement
12,-5655.602512211319,-777.1261523437499,65.34647,0.015186524,0.9487277,1112.9937,2.34566303261133,474.49,EXIT,Gradual Exit + Non-renewal
12,-4329.593840465202,-770.0086523437499,14.1383705,0.06828613,0.9487277,1112.9937,2.2996686894990495,483.98,EXIT,Gradual Exit + Non-renewal
12,-296.2353991745549,-764.5254345703127,0.6495108,0.7855375,0.9487277,1111.1329,2.273138713549871,488.81,EXIT,Gradual Exit + Non-renewal
13,1108.5904327210117,166.51,81.59134,0.012181423,0.00010591426,0.0,0.0,248.68,PROTECT,VIP Treatment + Loyalty Rewards
13,678.8981470307355,173.0425,8.594944,0.10983413,0.00010591426,0.0,0.0,257.39,PROTECT,VIP Treatment + Loyalty Rewards
13,105.35803784374576,171.10750000000002,1.7978851,0.4266214,0.00010591426,0.0,0.0,254.81,PROTECT,VIP Treatment + Loyalty Rewards
14,656.9695826372769,307.8799556770921,3.5483668,0.24559037,0.0021383527,0.11004432,0.00025163341010684315,437.32,PROTECT,VIP Treatment + Loyalty Rewards
14,377.1974901456904,314.5699556770921,2.197969,0.36553013,0.0021383527,0.11004432,0.0002466034486104443,446.24,PROTECT,VIP Treatment + Loyalty Rewards
